Названия строк;s_1;s_2_corr
8594;1;no_data
8595;1;no_data
8596;1;no_data
8597;1;no_data
8598;1;no_data
8599;1;no_data
8600;1;no_data
8601;1;no_data
8602;1;no_data
8603;1;no_data
8604;1;no_data
8605;1;no_data
8606;1;no_data
8607;1;no_data
8608;1;no_data
8609;0;no_data
8610;1;no_data
8611;0;no_data
8612;1;no_data
8613;0;no_data
8614;0;no_data
8615;1;no_data
8616;1;no_data
8617;1;no_data
8618;1;no_data
8620;1;no_data
8621;1;no_data
8630;1;no_data
8635;1;no_data
8650;1;no_data
8723;1;no_data
8724;1;no_data
8725;0;no_data
8726;1;no_data
8727;1;no_data
8728;0;no_data
8729;1;no_data
8730;1;no_data
8731;1;no_data
8739;1;no_data
8750;1;no_data
8772;1;no_data
8773;0;no_data
8785;1;no_data
8786;1;no_data
8787;1;no_data
8788;1;no_data
8789;1;no_data
8790;0;no_data
8791;1;no_data
8792;1;no_data
8793;1;no_data
8794;1;no_data
8795;1;no_data
8796;1;no_data
8797;1;no_data
8798;1;no_data
8799;1;no_data
8800;1;no_data
8801;1;no_data
8802;1;no_data
8803;1;no_data
8804;1;no_data
8805;1;no_data
8806;1;no_data
8807;1;no_data
8808;1;no_data
8809;1;no_data
8810;1;no_data
8811;1;no_data
8812;1;no_data
8813;1;no_data
8814;1;no_data
8815;1;no_data
8816;1;no_data
8817;1;no_data
8818;1;no_data
8819;1;no_data
8820;1;no_data
8821;1;no_data
8822;1;no_data
8851;1;no_data
8852;1;no_data
8853;1;no_data
8854;1;no_data
8855;1;no_data
8856;1;no_data
8857;1;no_data
8858;1;no_data
8859;0;no_data
8860;1;no_data
8861;1;no_data
8862;1;no_data
8863;1;no_data
8864;1;no_data
8865;1;no_data
8866;1;no_data
8867;1;no_data
8868;1;no_data
8869;1;no_data
8870;1;no_data
8881;1;no_data
8882;0;no_data
8883;1;no_data
8884;1;no_data
8885;0;no_data
8886;1;no_data
8887;1;no_data
8889;1;no_data
8907;1;no_data
8910;1;no_data
8911;1;no_data
8912;1;no_data
8914;1;no_data
8916;1;no_data
8918;0;no_data
8919;1;no_data
8921;1;no_data
8923;1;no_data
8927;1;no_data
8931;1;no_data
8934;1;no_data
8935;1;no_data
8937;1;no_data
8940;1;no_data
8941;1;no_data
8943;1;no_data
8945;1;no_data
8947;1;no_data
8949;1;no_data
8950;1;no_data
8951;1;no_data
8952;1;no_data
8953;1;no_data
8954;1;no_data
8955;1;no_data
8956;0;no_data
8957;1;no_data
8958;1;no_data
8959;1;no_data
8960;1;no_data
8961;1;no_data
8962;1;no_data
8963;1;no_data
8964;1;no_data
8965;1;no_data
8966;1;no_data
8967;1;no_data
8968;1;no_data
8969;1;no_data
8970;1;no_data
8971;1;no_data
8972;1;no_data
8973;1;no_data
8974;1;no_data
8975;1;no_data
8976;1;no_data
8977;1;no_data
8978;1;no_data
8979;1;no_data
8980;1;no_data
8981;1;no_data
8982;1;no_data
8983;1;no_data
8984;1;no_data
8985;1;no_data
8986;1;no_data
8987;1;no_data
8988;1;no_data
8989;1;no_data
8990;0;no_data
8991;1;no_data
8992;1;no_data
8993;1;no_data
8994;1;no_data
8995;0;no_data
8996;1;no_data
8997;1;no_data
8998;1;no_data
8999;1;no_data
9000;0;no_data
9001;1;no_data
9002;0;no_data
9003;1;no_data
9004;0;no_data
9005;1;no_data
9008;1;no_data
9009;1;no_data
9010;1;no_data
9011;1;no_data
9017;1;no_data
9022;1;no_data
9026;1;no_data
9027;1;no_data
9028;1;no_data
9029;1;no_data
9030;1;no_data
9031;0;no_data
9032;1;no_data
9033;1;no_data
9050;1;no_data
9064;1;no_data
9065;1;no_data
9066;1;no_data
9067;1;no_data
9069;1;no_data
9070;1;no_data
9081;1;no_data
9082;1;no_data
9083;1;no_data
9084;1;no_data
9085;1;no_data
9086;1;no_data
9087;1;no_data
9088;1;no_data
9090;1;no_data
9091;1;no_data
9092;1;no_data
9093;1;no_data
9094;1;no_data
9095;1;no_data
9107;1;no_data
9108;1;no_data
9109;1;no_data
9110;1;no_data
9111;1;no_data
9141;0;no_data
9152;1;no_data
9153;1;no_data
9154;1;no_data
9155;1;no_data
9156;1;no_data
9157;1;no_data
9159;1;no_data
9203;1;no_data
9204;1;no_data
9205;1;no_data
9206;1;no_data
9207;1;no_data
9208;1;no_data
9209;1;no_data
9210;1;no_data
9211;1;no_data
9212;0;no_data
9213;0;no_data
9214;0;no_data
9215;1;no_data
9216;1;no_data
9217;1;no_data
9218;1;no_data
9219;1;no_data
9220;1;no_data
9221;1;no_data
9222;1;no_data
9223;0;no_data
9224;1;no_data
9225;1;no_data
9226;1;no_data
9227;1;no_data
9228;1;no_data
9229;0;no_data
9230;1;no_data
9231;1;no_data
9232;1;no_data
9233;1;no_data
9234;1;no_data
9235;1;no_data
9236;1;no_data
9237;0;no_data
9238;1;no_data
9239;0;no_data
9240;1;no_data
9241;1;no_data
9242;1;no_data
9243;1;no_data
9244;1;no_data
9245;1;no_data
9246;1;no_data
9247;1;no_data
9248;1;no_data
9249;1;no_data
9250;1;no_data
9251;1;no_data
9252;1;no_data
9253;1;no_data
9254;1;no_data
9255;1;no_data
9256;0;no_data
9257;1;no_data
9258;1;no_data
9259;1;no_data
9260;1;no_data
9261;0;no_data
9262;0;no_data
9263;1;no_data
9264;1;no_data
9265;1;no_data
9266;1;no_data
9267;1;no_data
9268;1;no_data
9269;1;no_data
9270;1;no_data
9271;1;no_data
9272;1;no_data
9273;1;no_data
9274;1;no_data
9275;1;no_data
9276;1;no_data
9277;1;no_data
9278;1;no_data
9279;1;no_data
9280;1;no_data
9281;1;no_data
9282;1;no_data
9283;0;no_data
9284;0;no_data
9285;0;no_data
9286;0;no_data
9287;1;no_data
9367;1;no_data
9416;1;no_data
9417;1;no_data
9427;1;no_data
9447;1;no_data
9501;1;no_data
9502;1;no_data
9503;1;no_data
9504;1;no_data
9505;1;no_data
9506;1;no_data
9515;1;no_data
9517;1;no_data
9518;1;no_data
9521;1;no_data
9522;1;no_data
9523;1;no_data
9524;1;no_data
9525;1;no_data
9530;1;no_data
9535;1;no_data
9536;1;no_data
9537;1;no_data
9538;1;no_data
9541;1;no_data
9549;1;no_data
9550;1;no_data
9552;1;no_data
9558;1;no_data
9560;1;no_data
9565;1;no_data
9570;1;no_data
9577;1;no_data
9584;1;no_data
9790;1;no_data
9791;1;no_data
9795;1;no_data
9796;1;no_data
9797;1;no_data
9836;1;no_data
9837;1;no_data
9838;1;no_data
9870;1;no_data
9872;1;no_data
9875;1;no_data
9880;1;no_data
9885;1;no_data
9892;1;no_data
9988;1;no_data
9990;1;no_data
9993;1;no_data
10029;1;no_data
10073;1;no_data
10074;1;no_data
10097;1;no_data
10144;1;no_data
10153;1;no_data
10154;1;no_data
10155;1;no_data
10156;1;no_data
10157;1;no_data
10158;1;no_data
10167;1;no_data
10169;1;no_data
